ID,Station Name,Street Address,City,State,ZIP,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Latitude,Longitude,Open Date,EV Connector Types,Facility Type,EV Pricing,EV Workplace Charging,Station Density,Nearest Station Distance (km),Nearest Station Name,Nearest Urban Center,Distance to Nearest Urban Center (km),Is_Underserved,Underserved_Cluster
184173,AMOR WELLNESS AMOR A4,121 W Belmont Ave,Mendota,CA,ZCTA5 93640,,1.0,,ChargePoint Network,36.74952,-120.388719,2021-02-10,J1772,PARKING_LOT,,False,11,0.00165558720476347,AMOR WELLNESS AMOR A3,"Madera, CA, USA",37.227322500724625,True,19
184174,AMOR WELLNESS AMOR A3,121 W Belmont Ave,Mendota,CA,ZCTA5 93640,,2.0,,ChargePoint Network,36.749508,-120.388708,2021-02-10,J1772,CAR_DEALER,,False,11,0.00165558720476347,AMOR WELLNESS AMOR A4,"Madera, CA, USA",37.22739910249912,True,19
184175,AMOR WELLNESS AMOR A2,121 W Belmont Ave,Mendota,CA,ZCTA5 93640,,2.0,,ChargePoint Network,36.749437,-120.388794,2021-02-10,J1772,CAR_DEALER,,False,11,0.005955970386523933,AMOR WELLNESS AMOR A1,"Madera, CA, USA",37.2383210498711,True,19
184984,Caltrans Maintenance Station - Kettleman City,32169 Brown St,Kettleman City,CA,ZCTA5 93239,,,4.0,Non-Networked,36.005766,-119.959081,2021-02-08,CHADEMO J1772COMBO,MOTOR_POOL,,False,6,0.37372995430314615,RSUSD 701 GEN PETRO 2,"Lost Hills, CA, USA",49.44776730204834,True,28
184997,Caltrans Maintenance Station - Delano,805 S Lexington St,Delano,CA,ZCTA5 93215,,,4.0,Non-Networked,35.750048,-119.241088,2021-02-08,CHADEMO J1772COMBO,MOTOR_POOL,,False,8,4.623171840634435,Denny's Delano,"East Porterville, CA, USA",41.71265493743818,True,64
185383,DC CORRIDOR MOJAVE DC1,16262 Sierra Hwy,Mojave,CA,ZCTA5 93501,,,1.0,ChargePoint Network,35.057478,-118.1743,2021-02-26,CHADEMO J1772COMBO,PARKING_LOT,,False,10,0.002457581149122718,DC CORRIDOR MOJAVE DC2,"Lancaster, CA, USA",41.25988704144433,True,31
185397,DC CORRIDOR MOJAVE DC4,16262 Sierra Hwy,Mojave,CA,ZCTA5 93501,,,1.0,ChargePoint Network,35.057456,-118.174426,2021-02-26,CHADEMO J1772COMBO,PARKING_LOT,,False,10,0.0016202943686143003,DC CORRIDOR MOJAVE L2,"Lancaster, CA, USA",41.25795667949491,True,31
185398,DC CORRIDOR MOJAVE L2,16262 Sierra Hwy,Mojave,CA,ZCTA5 93501,,2.0,,ChargePoint Network,35.057465,-118.174412,2021-02-26,J1772,PARKING_LOT,,False,10,0.0016202943686143003,DC CORRIDOR MOJAVE DC4,"Lancaster, CA, USA",41.25889921329611,True,31
185399,DC CORRIDOR MOJAVE DC3,16262 Sierra Hwy,Mojave,CA,ZCTA5 93501,,,1.0,ChargePoint Network,35.057462,-118.174343,2021-02-26,CHADEMO J1772COMBO,PARKING_LOT,,False,10,0.002299174455343956,DC CORRIDOR MOJAVE DC2,"Lancaster, CA, USA",41.25828457162387,True,31
185400,DC CORRIDOR MOJAVE DC2,16262 Sierra Hwy,Mojave,CA,ZCTA5 93501,,,1.0,ChargePoint Network,35.057478,-118.174327,2021-02-26,CHADEMO J1772COMBO,PARKING_LOT,,False,10,0.002299174455343956,DC CORRIDOR MOJAVE DC3,"Lancaster, CA, USA",41.25999679913969,True,31
185708,Wasco City Hall,719 F St,Wasco,CA,ZCTA5 93280,,2.0,,Non-Networked,35.594254,-119.334005,2021-03-01,J1772,MUNI_GOV,Paid,False,4,0.33188406750871463,US Bank Wasco,"Lost Hills, CA, USA",32.66539484534241,True,76
186207,Caltrans - Clyde V. Kane Rest Area - Northbound,"I-15, Exit 217",Baker,CA,ZCTA5 92309,,,2.0,Non-Networked,35.0319,-116.469128,2021-03-08,CHADEMO J1772COMBO,TRAVEL_CENTER,,False,1,0.3276314175154117,Caltrans - Clyde V. Kane Rest Area - Southbound,"Newberry Springs, CA, USA",30.290146557191168,True,77
186208,Caltrans - Valley Wells Rest Area - Southbound,"I-15, Exit 270",Nipton,CA,ZCTA5 92364,,,2.0,Non-Networked,35.435299,-115.70199,2021-03-08,CHADEMO J1772COMBO,TRAVEL_CENTER,,False,1,0.2845923767326983,Caltrans - Valley Wells Rest Area - Northbound,"Baker, CA, USA",38.747861081950695,True,78
186209,Caltrans - Valley Wells Rest Area - Northbound,"I-15, Exit 270",Nipton,CA,ZCTA5 92364,,,2.0,Non-Networked,35.434023,-115.699267,2021-03-08,CHADEMO J1772COMBO,TRAVEL_CENTER,,False,1,0.2845923767326983,Caltrans - Valley Wells Rest Area - Southbound,"Baker, CA, USA",38.89528261620065,True,78
186866,Don's Market - Tesla Supercharger,30270 CA-78,Santa Ysabel,CA,ZCTA5 92070,,,8.0,Tesla,33.109255,-116.674411,2021-03-29,TESLA,SHOPPING_CENTER,,False,3,0.05205858921281003,RAMONA SHOPPING TOWN & COUNTRY,"Ramona, CA, USA",20.05241807489349,True,40
187287,Caltrans - Clyde V. Kane Rest Area - Southbound,"I-15, Exit 217",Baker,CA,ZCTA5 92309,,,2.0,Non-Networked,35.034153,-116.471447,2021-04-05,CHADEMO J1772COMBO,TRAVEL_CENTER,,False,1,0.3276314175154117,Caltrans - Clyde V. Kane Rest Area - Northbound,"Newberry Springs, CA, USA",30.340455359999037,True,77
190098,"Target T2359 (Los Banos, CA)",1405 W Pacheco Blvd,Los Banos,CA,ZCTA5 93635,,,4.0,Electrify America,37.05477,-120.87648,2021-05-26,J1772COMBO,SHOPPING_CENTER,,False,6,0.14929724223667365,Stonecreek Plaza - Tesla Supercharger,"Gustine, CA, USA",25.07749157489229,True,24
190478,The Boatyard Shopping Center - Tesla Supercharger,171 Boatyard Drive,Fort Bragg,CA,ZCTA5 95437,,,12.0,Tesla,39.421141,-123.807353,2021-05-23,TESLA,SHOPPING_CENTER,,False,11,0.09140259296037709,BOATYARD NEW STATION,"Willits, CA, USA",38.831785293482234,True,12
190479,Holiday Market - Tesla Supercharger,1200 West 12th Street,Alturas,CA,ZCTA5 96101,,,8.0,Tesla,41.495392,-120.559776,2021-05-23,TESLA,GROCERY,,False,1,2.0609124982215756,Niles Hotel - Tesla Destination,"Madeline, CA, USA",49.83083896155037,True,33
190504,"Yreka, CA - Tesla Supercharger",1808 Fort Jones Road,Yreka,CA,ZCTA5 96097,,,12.0,Tesla,41.701531,-122.645088,2021-05-23,TESLA,SHOPPING_MALL,,False,5,0.0897926991839453,DC CORRIDOR CARL'S JR DC,"Somes Bar, CA, USA",78.05652510220689,True,49
191523,Granzella’s Inn,391 6th St,Williams,CA,ZCTA5 95987,,2.0,,Non-Networked,39.156534,-122.149054,2014-10-03,J1772,INN,Free,False,3,0.10079438754765305,Granzella's Gourmet and Gifts - Tesla Supercharger,"Sutter, CA, USA",34.4012657007405,True,52
193974,Yosemite National Park - Tuolumne Meadows Public Parking Area,Tioga Pass Rd,Yosemite National Park,CA,ZCTA5 95389,,4.0,,RIVIAN_WAYPOINTS,37.873696,-119.357795,2021-08-16,J1772,NATL_PARK,Free,False,2,0.011833022373011192,Tuolumne Meadows Lodge Road (US-VLT-GMZ-1),"Bridgeport, CA, USA",44.277411242977244,True,79
193977,Yosemite National Park - Yosemite Lodge,9006 Yosemite Lodge Dr,Yosemite National Park,CA,ZCTA5 95389,,4.0,,Non-Networked,37.743182,-119.597748,2021-03-31,J1772,NATL_PARK,Free,False,48,0.0,Yosemite National Park - Yosemite Lodge,"Fish Camp, CA, USA",29.69199926959088,True,45
