ID,Station Name,Street Address,City,State,ZIP,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Latitude,Longitude,Open Date,EV Connector Types,Facility Type,EV Pricing,EV Workplace Charging,Station Density,Nearest Station Distance (km),Nearest Station Name,Nearest Urban Center,Distance to Nearest Urban Center (km),Is_Underserved,Underserved_Cluster,Area Name,Population,LandArea_SQMI,Mean Income ($),Housing Density,500K-1M,1M-1.5M,1.5M-2M,Over2M,Population to Station Ratio
166944,MENDO COLLEGE LAKE EV1,2565 Parallel Dr,Lakeport,CA,ZCTA5 95453,,2,,ChargePoint Network,39.019034,-122.917743,9/19/2020,J1772,COLLEGE_CAMPUS,,FALSE,4,2.7217158792142886,City of Lakeport,"Clearlake, CA, USA",26.07441611287095,TRUE,152,ZCTA5 95453,11978,87.028,98782,3435,808,103,43,8,2395.6
166945,MENDO COLLEGE EAST EV3,1000 Hensley Creek Rd,Ukiah,CA,ZCTA5 95482,,2,,ChargePoint Network,39.188691,-123.227105,9/19/2020,J1772,COLLEGE_CAMPUS,,FALSE,28,0.004461137,MENDO COLLEGE EAST EV2,"Ukiah, CA, USA",4.595797683980783,TRUE,8,ZCTA5 95482,33276,294.154,92095,6629,2312,98,44,130,1147.448275862069
166947,MENDO COLLEGE WILLITS EV1,375 E Commercial St,Willits,CA,ZCTA5 95490,,2,,ChargePoint Network,39.413285,-123.348705,9/19/2020,J1772,COLLEGE_CAMPUS,,FALSE,5,0.6537670852728037,CITY OF WILLITS PARKING LOT 02,"Willits, CA, USA",0.7175574261594715,TRUE,118,ZCTA5 95490,14227,430.119,81186,3231,637,49,0,41,2371.1666666666665
166999,HILLTOP STATION 2,3170 Hilltop Mall Rd,Richmond,CA,ZCTA5 94806,,2,,ChargePoint Network,37.981018,-122.32392,9/23/2020,J1772,PARKING_LOT,,FALSE,51,0.003944046,HILLTOP STATION 1,"El Sobrante, CA, USA",2.024224028355714,TRUE,4,ZCTA5 94806,64589,7.852,99119,10252,6037,179,54,68,1242.0961538461538
167033,LMC LMC LOT A STN06,Lakeview Cir,Pittsburg,CA,ZCTA5 94565,,2,,ChargePoint Network,38.007327,-121.861829,9/24/2020,J1772,PARKING_LOT,,FALSE,30,0.005811064,LMC LMC LOT A STN07,"Antioch, CA, USA",4.913013895868862,TRUE,9,ZCTA5 94565,100341,45.293,112470,17557,9286,228,67,65,3236.8064516129034
167034,LMC LMC LOT A STN10,East Leland Rd &amp; Lakeview Cir,Pittsburg,CA,ZCTA5 94565,,2,,ChargePoint Network,38.007506,-121.861941,9/24/2020,J1772,PARKING_LOT,,FALSE,30,0.008124783,LMC LMC LOT A STN09,"Antioch, CA, USA",4.923893099767593,TRUE,9,ZCTA5 94565,100341,45.293,112470,17557,9286,228,67,65,3236.8064516129034
167126,Target - Tesla Supercharger,51 Tierra Rejada Road,Simi Valley,CA,ZCTA5 93065,,,16,Tesla,34.272092,-118.797297,9/21/2020,TESLA,SHOPPING_CENTER,,FALSE,37,0.027447925,TARGET T2462 STATION 3,"Simi Valley, CA, USA",1.482971687,TRUE,2,ZCTA5 93065,73943,29.802,144231,18420,13333,2299,106,103,1945.8684210526317
167225,LULUBELLE'S EV STATION 1,31621 Pleasant Dr,Running Springs,CA,ZCTA5 92382,,1,,ChargePoint Network,34.207527,-117.11371,10/2/2020,J1772,PARKING_LOT,,FALSE,5,8.471539364582915,Lake Arrowhead Village - Tesla Supercharger,"Redlands, CA, USA",18.045595654128515,TRUE,106,ZCTA5 92382,5721,20.419,92913,1542,222,0,0,0,953.5
167248,MURRIETA COMMON HOLIDAY INN 1,24761 Hospitality Pl,Murrieta,CA,ZCTA5 92562,,2,,ChargePoint Network,33.56266,-117.201764,10/3/2020,J1772,HOTEL,,FALSE,51,0.007461247,MURRIETA COMMON HOLIDAY INN 2,"Murrieta, CA, USA",0.7573033261598625,TRUE,15,ZCTA5 92562,64270,110.341,133206,14126,8072,700,250,322,1235.9615384615386
167287,Target - Tesla Supercharger,990 990 Avenida Vista Hermosa,San Clemente,CA,ZCTA5 92673,,,16,Tesla,33.46293,-117.60813,9/28/2020,TESLA,SHOPPING_CENTER,,FALSE,37,0.062880134,TARGET T2730 STATION 1,"San Clemente, CA, USA",4.014482240364581,TRUE,81,ZCTA5 92673,29642,10.305,222503,7686,2339,3031,1286,788,780.0526315789474
